mentee_name,gale_shapley_matched_mentor_name
PERSON_0227,PERSON_0115
PERSON_0186,PERSON_0123
PERSON_0231,PERSON_0184
PERSON_0104,PERSON_0175
PERSON_0258,PERSON_0024
PERSON_0113,PERSON_0210
PERSON_0353,PERSON_0124
PERSON_0132,PERSON_0011
PERSON_0297,PERSON_0059
PERSON_0313,PERSON_0052
PERSON_0058,PERSON_0031
PERSON_0382,PERSON_0203
PERSON_0301,PERSON_0090
PERSON_0393,PERSON_0246
PERSON_0214,PERSON_0017
PERSON_0223,PERSON_0228
PERSON_0308,PERSON_0065
PERSON_0088,PERSON_0169
PERSON_0069,PERSON_0242
PERSON_0315,PERSON_0293
PERSON_0221,PERSON_0185
PERSON_0154,PERSON_0158
PERSON_0331,PERSON_0048
PERSON_0167,PERSON_0093
PERSON_0156,PERSON_0008
PERSON_0170,PERSON_0286
PERSON_0055,PERSON_0362
PERSON_0327,PERSON_0197
PERSON_0335,PERSON_0356
PERSON_0394,PERSON_0053
PERSON_0126,PERSON_0250
PERSON_0399,PERSON_0405
PERSON_0032,PERSON_0347
PERSON_0076,PERSON_0234
PERSON_0099,PERSON_0287
PERSON_0363,PERSON_0261
PERSON_0395,PERSON_0173
PERSON_0063,PERSON_0292
PERSON_0133,PERSON_0333
PERSON_0349,PERSON_0295
PERSON_0097,PERSON_0217
PERSON_0018,PERSON_0143
PERSON_0310,PERSON_0034
PERSON_0408,PERSON_0145
PERSON_0023,PERSON_0160
PERSON_0289,PERSON_0099
PERSON_0322,PERSON_0257
PERSON_0314,PERSON_0141
PERSON_0359,PERSON_0019
PERSON_0324,PERSON_0247
PERSON_0369,PERSON_0130
PERSON_0390,PERSON_0179
PERSON_0122,PERSON_0050
PERSON_0201,PERSON_0003
PERSON_0109,PERSON_0084
PERSON_0285,PERSON_0047
PERSON_0183,PERSON_0112
PERSON_0038,PERSON_0305
PERSON_0298,PERSON_0070
PERSON_0014,PERSON_0266
PERSON_0340,PERSON_0127
PERSON_0102,PERSON_0174
PERSON_0212,PERSON_0279
PERSON_0288,PERSON_0366
PERSON_0316,PERSON_0226
PERSON_0006,PERSON_0281
PERSON_0164,PERSON_0178
PERSON_0192,PERSON_0232
PERSON_0398,PERSON_0033
PERSON_0230,PERSON_0280
PERSON_0302,PERSON_0283
PERSON_0343,PERSON_0213
PERSON_0013,PERSON_0082
PERSON_0387,PERSON_0245
PERSON_0354,PERSON_0117
PERSON_0149,PERSON_0028
PERSON_0078,PERSON_0273
PERSON_0067,PERSON_0264
PERSON_0401,PERSON_0157
PERSON_0071,PERSON_0270
PERSON_0377,PERSON_0056
PERSON_0332,PERSON_0094
PERSON_0243,PERSON_0386
PERSON_0036,PERSON_0005
PERSON_0142,PERSON_0166
PERSON_0252,PERSON_0216
PERSON_0339,PERSON_0195
PERSON_0074,PERSON_0077
PERSON_0380,PERSON_0006
PERSON_0027,PERSON_0205
PERSON_0323,PERSON_0285
PERSON_0303,PERSON_0035
PERSON_0336,PERSON_0224
PERSON_0086,PERSON_0041
PERSON_0134,PERSON_0307
PERSON_0317,PERSON_0046
PERSON_0325,PERSON_0237
PERSON_0296,PERSON_0152
PERSON_0344,PERSON_0140
PERSON_0105,PERSON_0100
PERSON_0202,PERSON_0263
PERSON_0196,PERSON_0249
PERSON_0378,PERSON_0397
PERSON_0009,PERSON_0083
PERSON_0275,PERSON_0075
PERSON_0342,PERSON_0187
PERSON_0005,PERSON_0103
PERSON_0328,PERSON_0061
PERSON_0040,PERSON_0054
PERSON_0355,PERSON_0385
PERSON_0346,PERSON_0172
PERSON_0042,PERSON_0163
PERSON_0400,PERSON_0022
PERSON_0321,PERSON_0358
PERSON_0162,PERSON_0236
PERSON_0367,PERSON_0267
PERSON_0072,PERSON_0078
PERSON_0372,PERSON_0190
PERSON_0125,PERSON_0291
PERSON_0375,PERSON_0012
PERSON_0106,PERSON_0015
PERSON_0120,PERSON_0079
PERSON_0407,PERSON_0150
PERSON_0370,PERSON_0181
PERSON_0334,PERSON_0396
PERSON_0238,PERSON_0039
PERSON_0311,PERSON_0218
PERSON_0025,PERSON_0235
PERSON_0229,PERSON_0268
PERSON_0233,PERSON_0060
PERSON_0146,PERSON_0171
PERSON_0241,PERSON_0081
PERSON_0121,PERSON_0277
PERSON_0257,PERSON_0200
PERSON_0204,PERSON_0244
PERSON_0341,PERSON_0091
PERSON_0182,PERSON_0278
PERSON_0329,PERSON_0085
PERSON_0338,PERSON_0029
PERSON_0269,PERSON_0199
PERSON_0304,PERSON_0062
PERSON_0330,PERSON_0119
PERSON_0403,PERSON_0269
PERSON_0251,PERSON_0135
PERSON_0254,PERSON_0087
PERSON_0348,PERSON_0219
PERSON_0320,PERSON_0111
PERSON_0318,PERSON_0161
PERSON_0389,PERSON_0080
PERSON_0306,PERSON_0189
PERSON_0092,PERSON_0020
PERSON_0381,PERSON_0066
PERSON_0259,PERSON_0272
PERSON_0159,PERSON_0312
PERSON_0002,PERSON_0068
PERSON_0110,PERSON_0073
PERSON_0193,PERSON_0220
PERSON_0299,PERSON_0026
PERSON_0360,PERSON_0198
PERSON_0383,PERSON_0016
PERSON_0319,PERSON_0260
PERSON_0294,PERSON_0209
PERSON_0131,PERSON_0045
PERSON_0350,PERSON_0208
PERSON_0153,PERSON_0176
PERSON_0402,PERSON_0098
PERSON_0108,PERSON_0004
PERSON_0207,PERSON_0101
PERSON_0404,PERSON_0207
PERSON_0365,PERSON_0118
PERSON_0051,PERSON_0107
PERSON_0300,PERSON_0116
PERSON_0188,PERSON_0352
PERSON_0144,PERSON_0240
PERSON_0376,PERSON_0253
PERSON_0095,PERSON_0337
PERSON_0044,PERSON_0148
PERSON_0326,PERSON_0089
PERSON_0351,PERSON_0225
PERSON_0165,PERSON_0043
PERSON_0206,PERSON_0064
PERSON_0368,PERSON_0284
PERSON_0137,PERSON_0194
PERSON_0309,PERSON_0021
PERSON_0151,PERSON_0010
PERSON_0371,PERSON_0191
PERSON_0049,PERSON_0262
PERSON_0239,PERSON_0147
PERSON_0148,PERSON_0139
PERSON_0391,PERSON_0345
PERSON_0138,PERSON_0282
PERSON_0379,PERSON_0180
PERSON_0374,PERSON_0290
PERSON_0392,PERSON_0222
PERSON_0037,PERSON_0255
PERSON_0409,PERSON_0276
PERSON_0388,PERSON_0357
PERSON_0364,PERSON_0129
PERSON_0057,PERSON_0164
PERSON_0291,PERSON_0361
PERSON_0007,PERSON_0177
PERSON_0373,PERSON_0265
PERSON_0384,PERSON_0114
PERSON_0168,PERSON_0256
PERSON_0128,PERSON_0025
PERSON_0248,PERSON_0030
PERSON_0406,PERSON_0274
