mentee_name,gale_shapley_matched_mentor_name
PERSON_0984,PERSON_0691
PERSON_0947,PERSON_1164
PERSON_0985,PERSON_0184
PERSON_0986,PERSON_0086
PERSON_0987,PERSON_1165
PERSON_0988,PERSON_1166
PERSON_0989,PERSON_0011
PERSON_0315,PERSON_1167
PERSON_0146,PERSON_0691
PERSON_0990,PERSON_0268
PERSON_0991,PERSON_1168
PERSON_0992,PERSON_1169
PERSON_0387,PERSON_0284
PERSON_0993,PERSON_1170
PERSON_0994,PERSON_0829
PERSON_0995,PERSON_1171
PERSON_0241,PERSON_0184
PERSON_0124,PERSON_0093
PERSON_0996,PERSON_1170
PERSON_0997,PERSON_0179
PERSON_0998,PERSON_1164
PERSON_0123,PERSON_1172
PERSON_0999,PERSON_0456
PERSON_0183,PERSON_1173
PERSON_0850,PERSON_0564
PERSON_1000,PERSON_0417
PERSON_1001,PERSON_1174
PERSON_1002,PERSON_0624
PERSON_1003,PERSON_0465
PERSON_0143,PERSON_1168
PERSON_0026,PERSON_1175
PERSON_1004,PERSON_0256
PERSON_1005,PERSON_0184
PERSON_1006,PERSON_1176
PERSON_1007,PERSON_0207
PERSON_0285,PERSON_1172
PERSON_1008,PERSON_0183
PERSON_0248,PERSON_1177
PERSON_1009,PERSON_0158
PERSON_1010,PERSON_1165
PERSON_0856,PERSON_0224
PERSON_0613,PERSON_0993
PERSON_0708,PERSON_1178
PERSON_0867,PERSON_0237
PERSON_1011,PERSON_0083
PERSON_1012,PERSON_1179
PERSON_0207,PERSON_0595
PERSON_1013,PERSON_0663
PERSON_1014,PERSON_0475
PERSON_1015,PERSON_1180
PERSON_1016,PERSON_0017
PERSON_1017,PERSON_0017
PERSON_1018,PERSON_1179
PERSON_0348,PERSON_1181
PERSON_1019,PERSON_0829
PERSON_0005,PERSON_0127
PERSON_0165,PERSON_1182
PERSON_1020,PERSON_1183
PERSON_1021,PERSON_0237
PERSON_1022,PERSON_0123
PERSON_1023,PERSON_0465
PERSON_1024,PERSON_0396
PERSON_1025,PERSON_0541
PERSON_1026,PERSON_0872
PERSON_1027,PERSON_1181
PERSON_0431,PERSON_0179
PERSON_1028,PERSON_1184
PERSON_1029,PERSON_1185
PERSON_1030,PERSON_1186
PERSON_1031,PERSON_0268
PERSON_1032,PERSON_0595
PERSON_1033,PERSON_1187
PERSON_1034,PERSON_1185
PERSON_1035,PERSON_1184
PERSON_1036,PERSON_0052
PERSON_1037,PERSON_1188
PERSON_1038,PERSON_1189
PERSON_1039,PERSON_0187
PERSON_1040,PERSON_0464
PERSON_1041,PERSON_0315
PERSON_1042,PERSON_1175
PERSON_1043,PERSON_1190
PERSON_1044,PERSON_1191
PERSON_1045,PERSON_1174
PERSON_1046,PERSON_1192
PERSON_1047,PERSON_0417
PERSON_1048,PERSON_1193
PERSON_1049,PERSON_1192
PERSON_0304,PERSON_0624
PERSON_1050,PERSON_0209
PERSON_1051,PERSON_1194
PERSON_1052,PERSON_0052
PERSON_1053,PERSON_1195
PERSON_0761,PERSON_0715
PERSON_1054,PERSON_0209
PERSON_1055,PERSON_0503
PERSON_1056,PERSON_1196
PERSON_1057,PERSON_1197
PERSON_0929,PERSON_0396
PERSON_0604,PERSON_0119
PERSON_0647,PERSON_1198
PERSON_1058,PERSON_0624
PERSON_1059,PERSON_1193
PERSON_1060,PERSON_1171
PERSON_1061,PERSON_1169
PERSON_1062,PERSON_0265
PERSON_0787,PERSON_0045
PERSON_1063,PERSON_0257
PERSON_1064,PERSON_0114
PERSON_1065,PERSON_0273
PERSON_1066,PERSON_1199
