u,n_low,sr_low,n_high,sr_high,fisher_p,DI,DI_L,DI_U,DI_L90,DI_U90,mean_pct_low,mean_pct_high,mean_gap,mean_gap_L,mean_gap_U,mean_gap_L90,mean_gap_U90,SMD,FOSD_obs_sup,FOSD_sup_CI_L,FOSD_sup_CI_U,FOSD_obs_inf,FOSD_inf_CI_L,FOSD_inf_CI_U,MW_dominance_prob,COS_dominance_prob,score_DI,score_gap,score_smd,score_var,total_score
1.5,834,0.8729016786570744,348,0.896551724137931,0.2808851531965838,0.973621103117506,0.9330157273454645,0.9984609972120824,0.9391798768777186,0.9968062848756365,9.401847561024587,7.118819049665286,-2.2830285113593005,-4.163298747107576,-0.3072360702848678,-3.8572566484864717,-0.5928198403230773,-0.1387118067600046,0.1412180600347308,0.10745679318614071,0.1977807409245017,-0.004051930869097831,-0.028611593483833575,0,0.1948,0,0.026378896882493952,2.2830285113593005,0.1387118067600046,0.06544526986661792,2.3853078386084583
0.9,834,0.8836930455635491,348,0.9252873563218391,0.03628909108089665,0.9550471424102953,0.9197941956032698,0.9917894784517787,0.9254093657589266,0.9863855750842364,8.676915672341673,5.011026543884018,-3.665889128457655,-5.332423843883118,-2.0848387319646586,-5.025334457468434,-2.3537337083164798,-0.24285059910079565,0.2367898784420739,0.19176383031505828,0.2835524683701315,0,-0.015008682709005239,0,0.6716,0,0.04495285758970469,3.665889128457655,0.24285059910079565,0.07199528284850887,3.8394668138826082
1,834,0.8812949640287769,348,0.9166666666666666,0.08097985046828067,0.961412688031393,0.9248552377610108,0.9956379999081685,0.930529196274882,0.9923496991999058,8.951231260389235,5.190126895987347,-3.7611043644018887,-5.415379329039609,-2.1351146855004797,-5.138293876775272,-2.421496773828773,-0.24610839451529107,0.22289754403373851,0.18051662118581,0.27216364839163154,0,-0.01571156867609358,0,0.6827,0,0.038587311968606985,3.7611043644018887,0.24610839451529107,0.07078276214715773,3.929824149842857
1.1,834,0.8764988009592326,348,0.9252873563218391,0.013956690725749833,0.947271996067742,0.9115661317100167,0.986388633663781,0.9167211685197297,0.9797282082274342,8.889155652524284,5.079765657170935,-3.8093899953533494,-5.414614376958793,-2.2516855851196054,-5.162097124850409,-2.512989263552916,-0.2505750451414436,0.2075580914578682,0.1687536177954188,0.2605236500454807,0,-0.014057719341767916,0,0.7303,0,0.05272800393225796,3.8093899953533494,0.2505750451414436,0.07482250195376439,3.994887772051706
1.4,834,0.8764988009592326,348,0.9252873563218391,0.013956690725749833,0.947271996067742,0.9115661317100167,0.986388633663781,0.9167211685197297,0.9797282082274342,9.140226237157552,5.079167931008974,-4.0610583061485785,-5.711080362739472,-2.40598903042179,-5.457220601320883,-2.659150158783712,-0.2583225389700056,0.2061523195236914,0.16798664516662534,0.2604823038121227,0,-0.0061605887703629625,0,0.8533,0,0.05272800393225796,4.0610583061485785,0.2583225389700056,0.07482250195376439,4.250429829761217
1.2000000000000002,834,0.8669064748201439,348,0.9195402298850575,0.009953569413279788,0.9427607913669065,0.9061678266889922,0.9830787405235529,0.9115661317100167,0.9768280993684935,9.43708318168957,5.348951326769694,-4.088131854919875,-5.742256409677378,-2.3719553095414057,-5.492825106718929,-2.604085293130318,-0.25375938075518095,0.21067973207640778,0.1706565781857273,0.26310778963036474,0,-0.009964442239311921,0,0.8008,0,0.05723920863309351,4.088131854919875,0.25375938075518095,0.07691091383456072,4.279941845314014
1.3,834,0.8741007194244604,348,0.9224137931034483,0.015174086093293333,0.9476232098433403,0.9113298318400495,0.98663850486431115,0.9169545171943254,0.9802651168506897,9.215445010071441,5.073648115758204,-4.141796894313237,-5.765315092335306,-2.491891797653508,-5.505323219028944,-2.7137926616976853,-0.26146683521226366,0.2049532787563053,0.1687536177954188,0.2600492020176961,0,-0.008041842388158416,0,0.8481,0,0.05237679015665975,4.141796894313237,0.26146683521226366,0.0753086730242617,4.332437969378455
1.6,834,0.8669064748201439,348,0.9339080459770115,8.295348790716433e-4,0.9282567791920311,0.8939611946806191,0.9652601394143603,0.8998102131791499,0.9597122302158273,9.63909726389409,5.077883090782316,-4.561214173111774,-6.188796967562192,-2.8717175661723586,-5.953114415741839,-3.1042432165138,-0.2809626761976604,0.2221533118332919,0.18004113950219133,0.2727693707103282,0,-0.004051930869097831,0,0.873,0,0.07174322080796891,4.561214173111774,0.2809626761976604,0.07129894473374121,4.780568626491948
1.7000000000000002,834,0.8669064748201439,348,0.9339080459770115,8.295348790716433e-4,0.9282567791920311,0.8939611946806191,0.9652601394143603,0.8998102131791499,0.9597122302158273,9.656214460669595,5.0833061788698934,-4.572908281799702,-6.226329676049165,-2.8748876743607985,-5.968991491864168,-3.1216269878613137,-0.2813634305893495,0.22335235260067798,0.1816546762589928,0.27369139171421475,0,-0.004051930869097831,0,0.8749,0,0.07174322080796891,4.572908281799702,0.2813634305893495,0.07129894473374121,4.79246311237572
1.9,834,0.8657074340527577,348,0.9367816091954023,2.792278772615682e-4,0.9241294081299377,0.890167865707434,0.9611361335441134,0.8959244308000166,0.9546750537023844,9.736215523929094,5.032234118599099,-4.703981405329994,-6.407178628318335,-2.8771876286369484,-6.149928054723029,-3.242180211615156,-0.2842400227231193,0.22310427520052922,0.1806623666583974,0.2719992971140329,0,-0.005002894236335043,0,0.8364,0,0.07587059187006229,4.703981405329994,0.2842400227231193,0.07096826783667942,4.9290688353452845
2,834,0.8633093525179856,348,0.9339080459770115,4.445442003650287e-4,0.9244050913115661,0.8899997826512204,0.9618144419396593,0.8957404545182315,0.9560149348875331,9.838669219382382,5.03556779275535,-4.803101426627032,-6.504059033391233,-3.012168537180526,-6.2350018255347655,-3.3259322604084476,-0.29010643052569457,0.2202307119821384,0.17805755395683454,0.2698058794343835,0,-0.005250971636483914,0,0.8199,0,0.07559490868843388,4.803101426627032,0.29010643052569457,0.07181465928843889,5.030931016507157
1.8,834,0.8633093525179856,348,0.9396551724137931,1.2050657754163771e-4,0.9187512375420763,0.8859074902240369,0.9552635336771259,0.8907508723560075,0.9489231045070485,9.631511064959495,4.823208756334962,-4.808302308624533,-6.4529458800451485,-3.1567708158241903,-6.133735494393829,-3.4174913172878885,-0.29835827884205274,0.22190523443314314,0.17945609030017368,0.2710452327792938,0,-0.002852890101711747,0,0.888,0,0.08124876245792367,4.808302308624533,0.29835827884205274,0.06935604345308899,5.0456658148487925
